
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/pascal/fold2     
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0041/2500] mIoU: 38.05  |  FB-IoU: 62.25 |  0: 22.97    |  1: 60.42    |  2: 50.11    |  3: 16.74    |  4: 40.00   
[Batch: 0042/2500] mIoU: 38.53  |  FB-IoU: 62.68 |  0: 22.97    |  1: 62.84    |  2: 50.11    |  3: 16.74    |  4: 40.00   
[Batch: 0043/2500] mIoU: 39.29  |  FB-IoU: 63.40 |  0: 22.97    |  1: 62.84    |  2: 53.92    |  3: 16.74    |  4: 40.00   
[Batch: 0044/2500] mIoU: 39.36  |  FB-IoU: 63.56 |  0: 22.97    |  1: 62.84    |  2: 53.92    |  3: 17.07    |  4: 40.00   
[Batch: 0045/2500] mIoU: 38.68  |  FB-IoU: 62.81 |  0: 22.97    |  1: 62.84    |  2: 53.92    |  3: 17.07    |  4: 36.59   
[Batch: 0046/2500] mIoU: 38.17  |  FB-IoU: 61.98 |  0: 20.44    |  1: 62.84    |  2: 53.92    |  3: 17.07    |  4: 36.59   
[Batch: 0047/2500] mIoU: 37.55  |  FB-IoU: 61.98 |  0: 20.44    |  1: 59.75    |  2: 53.92    |  3: 17.07    |  4: 36.59   
[Batch: 0048/2500] mIoU: 35.63  |  FB-IoU: 60.63 |  0: 20.44    |  1: 59.75    |  2: 44.32    |  3: 17.07    |  4: 36.59   
[Batch: 0049/2500] mIoU: 35.71  |  FB-IoU: 60.78 |  0: 20.44    |  1: 59.75    |  2: 44.32    |  3: 17.44    |  4: 36.59   
[Batch: 0050/2500] mIoU: 35.80  |  FB-IoU: 60.72 |  0: 20.44    |  1: 59.75    |  2: 44.32    |  3: 17.44    |  4: 37.06   
[Batch: 0051/2500] mIoU: 36.03  |  FB-IoU: 60.16 |  0: 21.60    |  1: 59.75    |  2: 44.32    |  3: 17.44    |  4: 37.06   
